vesselId,gfwName,gfwTonnage,mofStatus,mofNameKor,mofTonnage,mofPossibleMisclassification,tacPathA_status,tacPathA_name,tacPathA_numberStatus,tacPathB_status,tacPathB_name,tacPathB_numberStatus
000dfeb11-1c6a-5189-7b50-0c515d1f3ee8,GISUNGHO,,name_fuzzy_below_threshold,SUNJOO PLUTO,4303.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
000ee4cdc-cfba-964f-78b2-77d2134f8243,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
00173c035-5237-af34-9838-b2d145267ee4,2 DEOKSEUNGHO,,name_fuzzy_below_threshold,세경1호,194.0,True,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,제103덕승호,mismatch
00288d28f-f038-9a5b-4f6e-3f45fc1e36a7,YOU LIM HO,,name_fuzzy_below_threshold,LUCHANGYU 3071,72.0,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0029ac7ba-a9be-4640-a9b4-0fcfa6c57873,FISHING MASTER,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
002a1abd3-3bf6-434d-5423-96a8d4d395a6,,,name_fuzzy,은성호,321.0,True,name_fuzzy_mutual,301은성호,one_side_missing,name_fuzzy_non_mutual,301은성호,one_side_missing
00395e8f3-3c64-d22e-cd76-8894594bc9ef,KYEONG JIN,,name_fuzzy_below_threshold,101 GYEONG JIN,519.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0039c0603-3275-ad18-ae82-a38a0bd54ee1,KO SOO,,name_fuzzy_below_threshold,ROAD B-1,1140.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
003e3bfdd-d6e1-c85a-fb9e-f4dc6ba0d485,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0048dbdc2-2073-09ea-1fc8-89d398166e5f,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
00515f98f-fef9-f84b-7a04-a7797f669bcf,YUNG IN HO,,name_fuzzy_below_threshold,SUN.RISE.UNO,9694.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
005d43302-2cef-55f8-fac4-6052674ca953,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0060bb089-9ac8-ef0c-164d-7a0ce9d4e7e2,77HUIMANG,,name_fuzzy_below_threshold,해륙피1호,193.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0068bac68-8de8-27ab-e634-36f4c2d69ee4,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
006ef6f1b-b348-00ad-6678-561b70574ad8,YUN CHANG HO,,name_fuzzy_below_threshold,부경FD-6,3797.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
006fff956-63f7-8a9e-cc00-ebee0f0d8e06,236YANGCHANG,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
007be6084-47c1-f131-b7ef-c8ca0f51d5e5,100MANBOO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,1만복호,mismatch
00859a636-6ba8-cadf-41e4-ce4d041823dc,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
008a38f32-2099-1910-3b52-5ffa88d7596d,GOLD FISHING  @,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
008cbf011-171c-b89f-8d79-8b0507141501,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
009078d85-5b02-d147-95f3-2ac9122e1faf,NO.2JAESUNGHO,,name_fuzzy_below_threshold,NO.3 JAE IL,184.0,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0095d1062-21a0-373e-328f-ca66dea5a02d,TAESAN HO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
