통계 년도,통계 코드,컬럼 명,컬럼 영문명,전체 척 수,전체 톤수,전체 마력,동력 척 수,동력 톤수,동력 마력,무동력 척 수,무동력 톤수,최초 생성 시점,최종 변경 시점
2020,2100,  - 근  해   채  낚  기   어  업,Off-Shore Angling,404,14849.3,265219,404,14849.3,265219,0,0,2022-01-24,2022-01-24
2020,0,총                          계,Total,65744,547643.38,16373113,64987,546614.69,16373113,757,1028.69,2022-01-24,2022-01-24
2020,1000,원       양        어       업,Distant Waters Angling,199,132977.29,363872,199,132977.29,363872,0,0,2022-01-24,2022-01-24
2020,1010,  - 원   양   연   승    어   업,Long Line,120,50896,141800,120,50896,141800,0,0,2022-01-24,2022-01-24
2020,1020,  - 원   양   트   롤    어   업,Otter Trawl,14,26298.26,44072,14,26298.26,44072,0,0,2022-01-24,2022-01-24
2020,1030,  - 원   양   선   망    어   업,Distant Waters Purse Seines,29,39604.83,120350,29,39604.83,120350,0,0,2022-01-24,2022-01-24
2020,1040,  - 원  양  유  자  망   어   업,Distant Waters Floating Gill Net,0,0,0,0,0,0,0,0,2022-01-24,2022-01-24
2020,1050,  - 원  양  봉  수  망   어   업,Distant Waters Stick-held Dip Net,5,2643,8800,5,2643,8800,0,0,2022-01-24,2022-01-24
2020,1060,  - 원  양  채  낚  기   어   업,Distant Waters Angling,30,13475.2,48370,30,13475.2,48370,0,0,2022-01-24,2022-01-24
2020,1070,  - 원   양   통   발    어   업,Distant Waters Trap,1,60,480,1,60,480,0,0,2022-01-24,2022-01-24
2020,1990,  - 기   타   원   양    어   업,Others,0,0,0,0,0,0,0,0,2022-01-24,2022-01-24
2020,2000,근       해         어      업,Off-Shore Fisheries,2613,122618.48,1978895,2613,122618.48,1978895,0,0,2022-01-24,2022-01-24
2020,2010,  - 대형기선 저인망 어업(외끌이),Trawl Large(One Boat),44,2794.72,34745,44,2794.72,34745,0,0,2022-01-24,2022-01-24
2020,2020,  - 대형기선 저인망 어업(쌍끌이),Trawl Large(Two Boat),74,8597,102288,74,8597,102288,0,0,2022-01-24,2022-01-24
2020,2030,  - 동해구 기 선 저 인 망  어 업,Eastern Sea Danish Seine,32,1319.19,14270,32,1319.19,14270,0,0,2022-01-24,2022-01-24
2020,2040,  - 중형기선 저인망 어업(외끌이),Trawl Medium(One Boat),40,2214.01,19027,40,2214.01,19027,0,0,2022-01-24,2022-01-24
2020,2050,  - 중형기선 저인망 어업(쌍끌이),Trawl Medium(Two Boat),16,904,8553,16,904,8553,0,0,2022-01-24,2022-01-24
2020,2060,  - 대   형   트   롤    어   업,Large Otter Trawl,53,7150,81798,53,7150,81798,0,0,2022-01-24,2022-01-24
