vesselId,letterPart_호제외,number_호있는것,number_호없는것,koreanNameCandidates
000dfeb11-1c6a-5189-7b50-0c515d1f3ee8,GISUNG,,,기성 | 지성
00173c035-5237-af34-9838-b2d145267ee4,DEOKSEUNG,2호,,덕승
00288d28f-f038-9a5b-4f6e-3f45fc1e36a7,YOU LIM,,,유림 | 유임
0029ac7ba-a9be-4640-a9b4-0fcfa6c57873,FISHING MASTER,,,
002a1abd3-3bf6-434d-5423-96a8d4d395a6,EUNSEONG,,,은성
0039c0603-3275-ad18-ae82-a38a0bd54ee1,KO SOO,,,코수 | 고수
00515f98f-fef9-f84b-7a04-a7797f669bcf,YUNG IN,,,영인 | 용인
0060bb089-9ac8-ef0c-164d-7a0ce9d4e7e2,HUIMANG,,77,희망
006fff956-63f7-8a9e-cc00-ebee0f0d8e06,YANGCHANG,,236,양창
007be6084-47c1-f131-b7ef-c8ca0f51d5e5,MANBOO,,100,만부 | 만보
009078d85-5b02-d147-95f3-2ac9122e1faf,NO.JAESUNG,2호,,재성 | 재승 | 재숭
0095d1062-21a0-373e-328f-ca66dea5a02d,TAESAN,,,태산
009b55a3a-a699-0691-f5cc-b8d9698ada3a,MYEONG CHEON,,315,명천
00ad0b6e7-71a6-89ee-db90-fdd97be0096c,POINT,,,
00c13b901-168f-e746-cf9a-8b798d86789e,KUYNG SUNG,,,경성 | 경승 | 경숭
00c6656d5-54e5-4dc6-d87c-74dc4aa3043c,SEU TA TEU,,,스타트
00cee8f48-82c6-d44e-69bf-723ca708ce7e,KANG YEONG,153호,,강영
0101a1436-6911-db98-df8f-0cb0d0db0e90,SU GWANG,108호,,수광
0103f536c-c902-707a-53bb-5303abffe87f,HYUN SUNG,105호,,현성 | 현승 | 현숭
010504ff2-22bb-55ac-2992-e492908560d1,CHUN SA,,1,천사 | 춘사
010804cc9-914e-79ae-7537-a6563ab8ec32,SUN RED,,,
010d0252b-b1d0-34d4-692b-f3b644c26106,JOSABEURO,,,조사브로
011a67807-7844-683b-dcca-a803b2fa585a,BO MYUNG,,206,보명
011a955ff-fd78-ab7c-3736-d74024b269cb,BANG JU,,,방주
012e57567-7802-5519-1697-b046672e339f,DEOG YANG,,,덕양 | 덕향
01300b1d8-84c0-1b32-e5bc-3d10db29de44,WOORAM,2023호,,우람
0148cbef4-4e4d-28b2-13a0-23e223252d22,YUNO,,31,유노
01590b819-9f05-6c58-d745-3ed5b81feda7,CHEONG HAE,1호,,청해
015b1a8f8-83af-04fe-8942-6268c5e0e2fa,WOOJIN,,303,우진
016a7b6f4-4045-e6b4-a8a6-b5c1c5fede67,DAEYANG,,,대양
0177ce63a-aa77-8e42-027d-cc3a1f7a4f9c,NAM YANG,,201,남양
0184f30b1-1581-a0d5-e5a4-4049eb116ee2,DAE HUNG,,,대흥
0186360d7-782c-e185-ce54-c62e4f2c3c27,BU CHANG,,,부창
018d034d7-77ae-8a5c-f598-635a1c1ad787,MIRAE,,,미래
01b949bf2-20e0-9b98-18b3-319f79912229,BADA,,,바다
01d982b1b-b1c9-d17d-6c85-2f852a28be03,SIN JIN,,,신진
01f124a9b-bec8-9e4b-3e6c-940789278d0a,GEONYANG,,,건양
021e22f85-5526-eb06-59d0-dba3cd3faaa4,NEW SIN HEUNG,,,
023ef86a7-77fc-cb7b-435e-a40744cedfa2,TEST,,,
0242bcabd-d357-54f9-ae05-d6cb8344b5f6,DONG BAEK,,,동백
026125e2e-eb55-89fa-508e-81b60d436c1a,MIN SEUNG,,,민승 | 민세웅
0263042d2-27bd-72b5-7dd3-d85765872cb1,HAEJU,,,해주
0277223dc-cf95-84c0-e590-e98fce81c1ae,NEW SEGYERO,,2,
0279841dd-dc6e-6f4c-4e6e-29198fee655f,WOO JU,,,우주
028352b52-235f-2caa-f887-141035e26644,DAE YOUNG,,,대영 | 대용
02849b458-86bd-fbe8-dc90-bf7744247240,HYEON DAE,7호,,현대
0284a71b8-81f2-4e02-1eed-7a3e38731556,JE IL,5호,,제일
0289de9fb-bb49-186f-b942-dddc48f3a38b,MANPYEONG,,,만평
02950ab91-14ba-1d48-8050-ea2ff517070a,NAM GANG,26호,,남강
0299eadd1-1b18-8930-0c59-3b43f08705f7,MUNSUNG,,,문성 | 문승 | 문숭
02a399375-5152-d961-328a-54b525573553,MOON SEONG HO@,,2,문성
02bc49da8-8eb0-83c0-3ef9-aa79267b511e,HAE YEONG,,,해영
02bde1fed-d7f7-2057-59e8-514892dd3bf4,SUNGHAI,77호,,성해
02c38a0c5-5510-b1d2-e756-f3b86f17f583,JANGYEONG,,308,장영
02e43c2c5-5873-fa07-2b09-04f15cd01ddd,UJEONG,2026호,,우정
02e5ad4a0-0f6b-f5bb-290b-0975d58882b0,CHANGNAM,,2,창남
02fb22082-28bd-8ab7-3f2b-f4703991c4e7,PHOENIX,,,
030e29fd0-09d4-a8aa-a19e-df75382b1e04,ILCHUUL,,,일출
033a658da-ab8a-8a7c-2556-19d61787f273,JE IL,,,제일
033b048ba-af1c-c3e1-9973-cbdb3e128e3a,TAE HOON,,,태호온
03479e7a6-60b8-81cc-a65b-b1c72a2b2cdc,NO EUL,,,을
034adf763-3da9-dfa2-e036-079eba946833,SEONGGWANG,,2015,성광
034c7cf1c-c3d3-60a5-bb51-1538f1d8c7e3,SEONG JIN,,,성진
034db0712-2590-e061-1916-4bf141889256,GEO JE NU RI,,,거제누리
034dd9d18-8e2f-4961-7e04-a620a3ab13d9,HAN SEONG,,,한성
035186f3c-c03d-7c02-032b-dbf4f00dae7c,NOW MYENG LYUN,,,노명륜 | 노명윤
035c2ed5f-fa9a-8f68-a4b9-303992e471dd,HAN JIN,,,한진
035ee9d41-17fd-9e71-5ad6-9887710931ce,MIN GEUN,,,민근
0368d51fc-c561-f385-bf6b-0614667e996d,SU SEONG,,,수성
03799be53-39e0-89d8-b56b-8aa4b0ab632b,DONG GWANG,,,동광
0379b1ace-e425-e794-d3b6-41d8ea0c1bed,JE DONG,3호,,제동
037b8b2d3-3d84-a17f-acb9-f2707f78eeca,YOUNG CHANG,,,영창 | 용창
039509770-0f93-4ef1-c15e-f7ea9fe23abb,SAM SUNG,,,삼성 | 삼승 | 삼숭
039b235af-f813-efaf-d48c-e55831186795,YOUNG UNG,,,영웅 | 용웅
03c9169cd-dbea-1323-888e-3c472564f657,GEUM MYUNG,,1,금명
03d90352f-f1d2-b79a-95d2-290153e1e48c,PYEONG SAN,,308,평산
03e75c22d-d432-2d2e-92c0-b33884ffbedc,YOUNG JI,,2016,영지 | 용지
03f15235c-ce69-a7fc-ffc7-49d59ff946a9,DAEDONG,72호,,대동
03f6adf09-96af-c618-303c-c02d7a84b202,DAE YANG,,,대양
0403d5335-500b-41b6-2575-c470bdb770b4,ONE STAR,,,
040a60ea4-4b4e-48cb-d80b-26ff986a38ba,TAE KWANG,,,태광
0412e0ac8-8a5c-b96d-9824-a1ab757dc4dd,SU JIN,,,수진
043743cff-fb3e-383c-5e3c-1bf6d0f1cfda,YEONGOONG,,,영웅
0437f30ed-dfcc-e22a-5a4f-f7838af9b0a0,SEONG H,,2,
04586e7c3-37ff-f5d0-edc3-7f09b8958f31,CHEONG YANG,,3,청양
045c19237-7eee-dac8-5a61-600887562992,DONGWON-,,,동원
045db2976-695f-a219-9103-433920275f6c,DONG IK,,,동익
046abef02-2488-4672-eda1-0c8137f71e42,NEW ORION HO@,,,
04735f4f6-6fee-307e-e97d-71ca09912e5e,TAE YANG,,,태양
0473ada70-0858-ed5b-3c9d-0181aa3c1910,MAN GANG,301호,,만강
0478eef18-8285-cbad-35a8-883317fa288d,SIN HEUNG,,,신흥
047a41ea8-85f2-b742-b819-30513d72a4ce,SAWASDEE BALTIC,,,
04803d728-8a10-2f4a-b6f4-451185205331,TAE GWANG,501호,,태광
0483e4a25-5366-99b0-998b-595d00e8a0ca,SUPER STAR,,,
048f47206-6fba-17bf-adfa-9d4a05e69ad0,JEKWANG YANG,,2,제광양
04997be2b-b1f0-32bd-53bb-32542da4ac97,MAN GANG,,,만강
04ba63233-3b91-4dd9-9808-2865ac98a7e4,DAEKWANG,,,대광
04c180a6d-d4de-6230-0937-153c3747d3e6,MANSEON,,303,만선
04c50b2fc-cde6-77dd-6838-46c6795f6109,DEOK SUNG,,,덕성 | 덕승 | 덕숭
04e758da4-4d33-67fa-0c74-c086ce6d0063,JU JIN,,,주진
04f1a80bd-dd89-e232-7204-ec881da2e616,JEONG GIL,,2,정길
050678bfb-b1ca-709e-a651-f73aedaaf538,SUPER STAR,,,
051103b4a-aaf2-950a-d39c-3d5d399b86f4,MANSEON,,102,만선
051f7524e-e692-e733-5e79-cfb19f34985e,BO RAM,,,보람
05489f50f-f7ef-cdd2-f41c-44b6646061d8,,,1,
054b60e68-8ae3-7227-3bce-dfe33bf6e8a0,DONG IN,,,동인
05b14cfc6-665d-9e98-64dd-a6f5692c3fae,DONGMYENG,,,동명
05b49b27a-acdd-de8e-4624-f4816a236bdc,DAE SUNG,27호,,대성 | 대승 | 대숭
05b96fe62-2400-9ae4-abb4-908451df7ae0,HEUK SAN HU KEU,5호,,흑산후크
05d5d9c40-049c-6ed1-9178-a21c2a896c6e,CHUNG KANG,,,충강 | 청강
05d6534a0-01ce-bdc6-e7bc-589152058d66,SU EUN,,,수은
05f330a9a-a5e0-43f6-5ec6-5b18ee03ca5a,.CHANG YOUNG,,802,창영 | 창용
05f652d92-205d-1659-4bd3-4e2bb37388eb,KING STAR,,,
05fb965fe-ee6f-b646-ba9d-e021f9a5ee9e,MAN SUN,,,만선 | 만순
0606babf5-52f7-9cbc-5f20-e73ca4031a2f,CHANGDAE,,,창대
0610d9b03-37d3-6f2e-192c-78c7b66f1dde,BIG OSYEON,,,
0620ae63f-fe09-9779-1a7e-25a8fe9cdbc5,DAE YOUNG,,,대영 | 대용
06386ddb0-0c7d-fdaf-3128-fd4b94a37526,WANG B,,1,
063ac467e-e0ea-342b-f9a2-255e064c8978,DEOK JIN,67호,,덕진
064bccd1d-d5df-cbec-9d8d-3efcf88c754c,HAESEONG,,,해성
0651a70ef-f18b-52e5-a552-7fe4d87fccf9,KUM KANG,3호,,금강
065fd73b6-6f11-ec65-1aa9-e21636c397b6,GYUNG KOQK,102호,,
0667c7ff3-38e9-8856-0cb0-528cf649c7cc,HWA YEONG,,308,화영
067776087-79c1-b917-950d-c414eecea945,EO RAK HAENG,,,
